City,Country,Date,Cloudiness,Latitude,Longitude,Humidity,Max Temperature,Wind Speed
cabedelo,BR,1604802754,75,-6.98,-34.83,83,78.8,10.29
cabo san lucas,MX,1604802555,5,22.89,-109.91,78,78.01,3.36
east london,ZA,1604802681,2,-33.02,27.91,81,68.41,11.39
rongcheng,CN,1604802553,0,30.63,117.85,48,64.0,4.07
korla,CN,1604802720,0,41.76,86.15,48,43.88,4.32
seoul,KR,1604802757,1,37.57,126.98,29,51.8,3.36
sioux lookout,CA,1604802758,90,50.1,-91.92,93,32.0,6.93
constitucion,CL,1604802712,0,-35.33,-72.42,69,58.17,8.66
vostok,RU,1604802759,96,46.49,135.88,93,28.38,4.36
pokhara,NP,1604802759,0,28.23,83.98,52,69.66,1.48
port elizabeth,ZA,1604802727,0,-33.92,25.57,93,59.0,4.7
san lawrenz,MT,1604802761,20,36.06,14.2,87,64.0,4.7
sarahan,IN,1604802761,0,31.52,77.8,30,54.57,4.27
georgetown,MY,1604802706,20,5.41,100.34,74,84.2,4.7
desert hot springs,US,1604802703,1,33.96,-116.5,62,54.0,8.05
hithadhoo,MV,1604802737,19,-0.6,73.08,70,84.18,7.27
nanakuli,US,1604802634,40,21.39,-158.15,58,86.0,8.05
diego de almagro,CL,1604802765,94,-26.37,-70.05,56,58.55,0.78
iqaluit,CA,1604802566,75,63.75,-68.51,77,5.0,4.7
kokstad,ZA,1604802766,2,-30.55,29.42,41,62.82,4.52
carballo,ES,1604802767,20,43.21,-8.69,87,59.0,4.7
svarstad,NO,1604802768,14,59.4,9.97,84,37.99,2.37
mahebourg,MU,1604802718,75,-20.41,57.7,88,71.6,9.17
lodwar,KE,1604802769,70,3.12,35.6,59,79.88,8.88
vestmannaeyjar,IS,1604802728,100,63.44,-20.27,65,43.95,16.58
touros,BR,1604802764,75,-5.2,-35.46,78,80.6,9.17
hospet,IN,1604802771,19,15.27,76.4,81,74.59,10.8
itarema,BR,1604802772,65,-2.92,-39.92,77,79.03,14.34
tilichiki,RU,1604802773,0,60.47,166.1,92,20.34,8.1
upata,VE,1604802766,100,8.01,-62.4,87,81.0,1.99
xunchang,CN,1604802774,19,28.45,104.72,56,69.48,1.43
victoria point,AU,1604802775,74,-27.58,153.3,54,75.0,11.99
kaitangata,NZ,1604802708,0,-46.28,169.85,42,55.99,11.99
waw,SS,1604802776,74,7.7,28.0,57,74.41,1.59
cape town,ZA,1604802603,75,-33.93,18.42,93,61.0,16.11
snyder,US,1604802777,1,32.72,-100.92,63,62.6,8.05
shahkot,IN,1604802778,0,31.08,75.34,24,66.79,2.84
porto novo,BJ,1604802710,100,6.5,2.6,86,78.01,5.23
san patricio,US,1604802779,20,28.02,-97.52,94,72.0,12.75
weihai,CN,1604802780,0,37.5,122.11,49,49.82,18.66
tasiilaq,GL,1604802703,95,65.61,-37.64,74,30.2,9.01
margate,GB,1604802781,59,51.38,1.39,66,54.0,3.0
saint-pierre,RE,1604802782,20,-21.34,55.48,64,69.8,6.93
muli,MV,1604802782,86,2.92,73.57,69,84.31,7.07
fairbanks,US,1604802435,90,64.84,-147.72,85,21.99,4.7
geraldton,AU,1604802669,90,-28.77,114.6,64,73.4,11.41
clyde river,CA,1604802690,1,70.47,-68.59,59,-0.4,6.93
bubaque,GW,1604802785,0,11.28,-15.83,79,84.76,10.71
padang,ID,1604802724,100,-0.95,100.35,80,79.03,5.93
esperance,AU,1604802717,1,-33.87,121.9,56,73.4,5.82
paamiut,GL,1604802787,84,61.99,-49.67,88,26.76,30.6
talaya,RU,1604802787,98,61.38,152.75,89,0.23,6.35
berlevag,NO,1604802752,98,70.86,29.09,74,39.34,35.16
kyzyl-suu,KG,1604802788,47,42.34,78.01,48,43.77,7.18
shushtar,IR,1604802789,96,32.05,48.86,40,65.93,1.81
mar del plata,AR,1604802688,90,-38.0,-57.56,100,62.01,5.82
avera,US,1604802730,1,33.19,-82.53,83,69.8,6.93
yellowknife,CA,1604802606,75,62.46,-114.35,84,8.01,3.91
kaeo,NZ,1604802743,13,-35.1,173.78,85,66.0,8.99
vangaindrano,MG,1604802759,3,-23.35,47.6,88,71.29,5.55
san angelo,US,1604802792,1,31.46,-100.44,63,64.99,6.93
bluff,NZ,1604802701,35,-46.6,168.33,55,55.0,10.0
felipe carrillo puerto,MX,1604802794,35,19.58,-88.05,98,73.0,3.42
hilo,US,1604802687,90,19.73,-155.09,88,75.2,6.93
longyearbyen,SJ,1604802739,75,78.22,15.64,86,30.2,5.01
pacific grove,US,1604802443,90,36.62,-121.92,71,54.0,10.29
kolokani,ML,1604802796,4,13.57,-8.03,19,74.07,9.82
honningsvag,NO,1604802758,100,70.98,25.97,88,38.7,39.82
dalbandin,PK,1604802797,0,28.89,64.41,23,62.35,2.28
gumdag,TM,1604802798,100,39.21,54.59,84,53.47,2.91
katsuura,JP,1604802682,75,35.13,140.3,72,71.01,5.82
los llanos de aridane,ES,1604802751,40,28.66,-17.92,59,66.2,6.93
rabat,MA,1604802800,0,33.99,-6.84,87,60.01,3.36
aklavik,CA,1604802769,97,68.22,-135.01,79,26.6,3.36
chongwe,ZM,1604802801,2,-15.33,28.68,30,68.94,3.6
nokaneng,BW,1604802801,59,-19.67,22.27,40,77.59,2.21
soyo,AO,1604802802,99,-6.13,12.37,84,77.58,2.98
kuruman,ZA,1604802803,1,-27.45,23.43,31,66.99,4.68
kirakira,SB,1604802702,51,-10.45,161.92,77,83.62,6.91
dudinka,RU,1604802741,75,69.41,86.18,85,19.4,22.37
lebu,CL,1604802684,0,-37.62,-73.65,85,52.57,20.29
bambous virieux,MU,1604802698,75,-20.34,57.76,88,71.6,9.17
nanortalik,GL,1604802718,100,60.14,-45.24,97,29.37,14.61
jamestown,US,1604802697,1,42.1,-79.24,50,55.4,4.7
cotonou,BJ,1604802807,100,6.37,2.42,84,79.61,10.78
hay river,CA,1604802807,95,60.82,-115.8,85,12.2,4.7
saint-augustin,CA,1604802743,98,51.23,-58.65,89,31.59,14.81
develi,TR,1604802808,0,38.39,35.49,74,37.4,10.29
martil,MA,1604802809,100,35.62,-5.28,93,53.6,4.7
ust-nera,RU,1604802749,27,64.57,143.2,82,-6.41,5.35
iquique,CL,1604802680,90,-20.22,-70.14,63,64.4,3.36
duluth,US,1604802812,90,46.78,-92.11,93,44.6,11.41
ribeira grande,PT,1604802686,19,38.52,-28.7,70,61.18,15.41
dzhebariki-khaya,RU,1604802813,98,62.22,135.8,86,-4.11,1.45
santa maria,BR,1604802814,0,-29.68,-53.81,85,63.54,10.31
carnarvon,AU,1604802699,41,-24.87,113.63,65,77.0,14.99
tura,IN,1604802815,0,25.52,90.22,64,75.63,1.68
necochea,AR,1604802816,0,-38.55,-58.74,90,55.0,5.01
cervo,ES,1604802817,14,43.67,-7.41,1,53.01,7.0
kulu,TR,1604802818,0,39.1,33.08,71,42.24,10.51
benghazi,LY,1604802819,7,32.12,20.07,71,67.14,25.17
turinsk,RU,1604802819,100,58.05,63.7,91,33.98,6.06
boddam,GB,1604802820,90,57.47,-1.78,93,44.01,1.12
aripuana,BR,1604802821,3,-9.17,-60.63,68,77.86,1.23
tommot,RU,1604802822,100,58.96,126.29,90,4.15,8.41
nome,US,1604802711,90,64.5,-165.41,80,35.6,3.58
isla mujeres,MX,1604802823,40,21.23,-86.73,88,78.8,8.05
magdagachi,RU,1604802823,0,53.45,125.8,84,11.75,10.0
kankon,IN,1604802824,0,15.02,74.02,73,80.28,5.06
sitka,US,1604802825,1,57.05,-135.33,86,33.8,6.93
dingle,PH,1604802721,21,11.0,122.67,72,83.3,4.21
aksu,CN,1604802826,0,41.12,80.26,45,46.83,2.19
baykit,RU,1604802826,100,61.67,96.37,97,29.97,4.36
aswan,EG,1604802707,89,24.09,32.91,49,65.44,5.08
cherskiy,RU,1604802705,99,68.75,161.3,94,4.19,6.2
alexandria,EG,1604802828,40,31.22,29.96,93,60.8,5.82
alanya,TR,1604802829,0,36.54,32.0,37,66.2,8.05
saint george,US,1604802445,86,37.1,-113.58,81,44.01,14.99
mahibadhoo,MV,1604802830,98,3.78,72.97,73,83.5,8.01
itapirapua,BR,1604802831,100,-15.82,-50.61,69,76.35,3.38
ilulissat,GL,1604802690,4,69.22,-51.1,43,15.8,11.41
hasaki,JP,1604802736,75,35.73,140.83,73,69.8,9.17
klyuchi,RU,1604802712,42,52.27,79.17,59,43.02,16.49
ostrovnoy,RU,1604802743,64,68.05,39.51,81,36.99,27.27
juneau,US,1604802459,75,58.3,-134.42,92,28.0,4.12
hervey bay,AU,1604802739,40,-25.3,152.85,39,80.6,17.22
gold coast,AU,1604802798,90,-28.0,153.43,60,73.99,14.99
high level,CA,1604802835,90,58.52,-117.14,85,14.0,4.27
hami,CN,1604802705,59,42.8,93.45,39,49.24,6.51
pierre,US,1604802837,1,44.37,-100.35,48,62.6,9.17
natal,BR,1604802837,75,-5.79,-35.21,78,80.6,14.99
bengkulu,ID,1604802475,100,-3.8,102.27,66,83.77,1.28
vaitape,PF,1604802838,97,-16.52,-151.75,75,80.24,11.16
naushki,RU,1604802839,2,50.38,106.11,86,29.5,4.29
haines junction,CA,1604802455,100,60.75,-137.51,83,-7.6,1.12
bintulu,MY,1604802840,40,3.17,113.03,79,86.0,3.36
murgab,TM,1604802841,75,37.5,61.97,46,50.0,6.15
saint-georges,GD,1604802841,20,12.06,-61.75,83,82.4,18.34
kuldur,RU,1604802842,70,49.22,131.63,90,28.15,6.29
meulaboh,ID,1604802843,71,4.14,96.13,68,84.69,0.96
banon,ES,1604802843,0,40.84,-1.19,93,50.0,1.12
praia da vitoria,PT,1604802752,75,38.73,-27.07,87,57.2,11.48
klaksvik,FO,1604802767,82,62.23,-6.59,86,41.0,10.29
roald,NO,1604802762,100,62.58,6.13,93,43.0,4.7
lahat,ID,1604802846,75,-3.8,103.53,51,88.65,3.42
ndioum,SN,1604802846,13,16.51,-14.65,26,87.31,10.67
mitsamiouli,KM,1604802847,44,-11.38,43.28,75,80.53,12.19
bangor,GB,1604802582,100,54.65,-5.67,93,51.01,6.93
dikson,RU,1604802687,100,73.51,80.55,91,-1.79,13.4
bandarbeyla,SO,1604802698,33,9.49,50.81,84,74.3,12.12
rio grande,BR,1604802692,0,-32.03,-52.1,90,62.87,10.89
fare,PF,1604802731,98,-16.7,-151.02,74,80.08,10.8
port blair,IN,1604802709,3,11.67,92.75,74,84.16,11.3
saint-michel-des-saints,CA,1604802852,100,46.68,-73.92,94,50.0,2.93
moose factory,CA,1604802724,1,51.26,-80.61,86,30.2,11.41
alekseyevsk,RU,1604802854,100,57.84,108.35,95,21.16,7.78
vanavara,RU,1604802854,100,60.34,102.28,97,21.63,5.93
fortuna,US,1604802855,40,40.6,-124.16,87,51.01,8.05
mount isa,AU,1604802753,13,-20.73,139.5,8,95.0,4.7
porto santo,PT,1604802856,20,33.07,-16.34,77,66.2,9.17
dafeng,CN,1604802857,0,23.45,108.59,44,75.09,9.44
hofn,IS,1604802685,67,64.25,-15.21,82,44.04,15.32
santa rosa,PH,1604802858,90,14.31,121.11,83,84.0,5.82
gigmoto,PH,1604802859,100,13.78,124.39,68,84.72,7.0
wum,CM,1604802859,100,6.38,10.07,73,64.11,3.2
suntar,RU,1604802773,0,62.14,117.63,86,0.12,3.13
vallenar,CL,1604802860,90,-28.57,-70.76,66,60.08,2.75
davlekanovo,RU,1604802862,90,54.22,55.03,93,35.6,15.66
talnakh,RU,1604802684,75,69.49,88.4,85,19.4,22.37
brae,GB,1604802716,23,60.4,-1.35,100,44.6,1.12
sao lourenco,BR,1604802863,3,-22.12,-45.05,89,62.26,1.97
nuuk,GL,1604802694,98,64.18,-51.72,73,21.2,14.99
kenai,US,1604802865,90,60.55,-151.26,86,27.0,14.99
yenagoa,NG,1604802696,94,4.92,6.26,94,75.54,3.44
muros,ES,1604802723,89,42.78,-9.06,89,62.01,15.99
zonguldak,TR,1604802783,0,41.25,31.83,83,41.99,2.91
conceicao do araguaia,BR,1604802740,87,-8.26,-49.26,92,74.26,1.66
the valley,AI,1604802711,75,18.22,-63.06,78,82.4,9.17
victoria,HK,1604802662,75,22.29,114.16,56,79.0,1.01
wollongong,AU,1604802683,40,-34.43,150.88,55,70.0,14.99
nikolskoye,RU,1604802689,90,59.7,30.79,81,48.2,11.18
duzce,TR,1604802870,0,40.84,31.16,66,48.11,2.01
inhambane,MZ,1604802871,0,-23.86,35.38,86,77.11,10.89
kushmurun,KZ,1604802872,100,52.45,64.63,83,40.1,18.43
yanam,IN,1604802872,0,16.73,82.22,74,80.6,5.82
zhanaozen,KZ,1604802873,90,43.3,52.8,81,45.01,10.89
severo-kurilsk,RU,1604802720,20,50.68,156.12,77,36.77,5.99
surgut,RU,1604802874,75,61.25,73.42,97,32.0,8.95
eirunepe,BR,1604802875,60,-6.66,-69.87,88,73.36,1.63
mauriti,BR,1604802875,40,-7.39,-38.77,48,86.0,8.05
ilinskiy,RU,1604802876,90,55.62,38.12,93,45.0,8.95
ponta do sol,PT,1604802682,20,32.67,-17.1,77,62.6,5.82
ketchikan,US,1604802741,1,55.34,-131.65,74,39.2,18.34
chiredzi,ZW,1604802774,0,-21.05,31.67,46,77.76,3.85
chapais,CA,1604802761,40,49.78,-74.85,80,30.2,6.93
cavan,IE,1604802879,100,53.99,-7.36,88,54.0,5.01
darhan,MN,1604802880,0,49.49,105.92,83,30.06,5.28
tual,ID,1604802880,100,-5.67,132.75,73,82.44,12.82
popondetta,PG,1604802881,35,-8.75,148.25,51,91.38,6.8
bida,NG,1604802730,74,9.08,6.02,40,73.11,3.42
luzhou,CN,1604802882,16,28.87,105.44,59,69.66,2.15
sayyan,YE,1604802727,64,15.17,44.32,49,49.17,2.39
chardara,KZ,1604802883,89,41.25,67.97,30,60.67,6.04
kawambwa,ZM,1604802885,0,-9.79,29.08,96,63.57,2.48
beech grove,US,1604802885,1,39.72,-86.09,62,57.2,3.36
vredendal,ZA,1604802886,0,-31.67,18.5,90,56.03,5.37
oskarshamn,SE,1604802887,5,57.26,16.45,90,46.99,3.0
krasnoselkup,RU,1604802888,100,65.7,82.47,98,34.3,14.81
lhokseumawe,ID,1604802888,100,5.18,97.15,74,83.39,1.36
khatanga,RU,1604802687,0,71.97,102.5,87,-3.66,12.88
umm kaddadah,SD,1604802889,30,13.6,26.69,32,69.62,12.17
san jose,US,1604802782,40,37.34,-121.89,58,53.6,11.41
egvekinot,RU,1604802890,98,66.32,-179.17,98,20.57,5.06
pozo colorado,PY,1604802754,35,-23.49,-58.8,30,79.07,6.87
husavik,IS,1604802697,75,66.04,-17.34,45,42.8,14.99
bara,NG,1604802893,1,10.37,10.73,26,70.83,5.79
arica,CL,1604802895,0,-18.48,-70.3,75,62.01,3.47
evensk,RU,1604802895,77,61.95,159.23,89,13.1,10.27
bukama,CD,1604802896,39,-9.2,25.85,90,70.43,1.05
qui nhon,VN,1604802481,88,13.77,109.23,81,77.49,20.33
muscat,OM,1604802816,20,23.61,58.59,83,75.2,2.24
souillac,MU,1604802732,75,-20.52,57.52,88,71.6,9.17
flin flon,CA,1604802790,100,54.77,-101.86,96,16.3,8.63
copiapo,CL,1604802899,89,-27.37,-70.33,76,57.2,10.29
kimbe,PG,1604802900,90,-5.55,150.14,66,86.74,5.17
vardo,NO,1604802727,60,70.37,31.11,78,39.4,36.82
faya,SA,1604802901,0,18.39,42.45,58,59.0,0.54
cuamba,MZ,1604802902,0,-14.8,36.54,62,72.3,6.78
port augusta,AU,1604802773,6,-32.5,137.77,29,80.01,13.87
honiara,SB,1604802903,40,-9.43,159.95,70,87.8,11.41
ancud,CL,1604802733,18,-41.87,-73.82,66,53.01,13.87
coihaique,CL,1604802745,0,-45.58,-72.07,66,50.0,3.36
mayo,US,1604802748,1,38.89,-76.51,100,57.0,3.58
cedar rapids,US,1604802906,1,42.01,-91.64,62,61.0,12.75
teya,RU,1604802906,100,60.38,92.63,83,36.66,13.51
genhe,CN,1604802907,0,50.78,121.52,85,16.0,4.43
puerto del rosario,ES,1604802908,0,28.5,-13.86,82,64.4,6.93
grindavik,IS,1604802700,40,63.84,-22.43,65,39.2,10.29
garowe,SO,1604802910,7,8.41,48.48,79,70.7,9.4
floresta,BR,1604802911,30,-8.6,-38.57,71,77.36,19.19
casma,CL,1604802911,100,-41.01,-73.12,58,55.4,6.93
bathsheba,BB,1604802712,40,13.22,-59.52,83,80.6,20.8
chuy,UY,1604802693,0,-33.7,-53.46,94,59.0,5.53
teodoro sampaio,BR,1604802913,0,-22.53,-52.17,41,74.48,4.7
samdari,IN,1604802914,0,25.82,72.58,23,78.13,4.29
palmas,BR,1604802914,20,-10.21,-48.36,94,73.4,3.36
taltal,CL,1604802737,66,-25.4,-70.48,77,58.26,1.05
goderich,CA,1604802916,15,43.75,-81.72,55,60.8,13.87
mokrousovo,RU,1604802916,100,55.81,66.77,97,37.4,2.89
tevaitoa,PF,1604802917,100,-16.78,-151.5,73,80.33,11.25
ponta delgada,PT,1604802723,20,37.73,-25.67,71,57.2,4.7
shepetivka,UA,1604802918,0,50.19,27.06,94,41.79,5.41
lakota,CI,1604802919,72,5.85,-5.69,99,70.65,2.33
pangai,TO,1604802919,28,-19.8,-174.35,80,75.22,15.97
puerto escondido,MX,1604802920,74,15.85,-97.07,77,79.68,2.86
solnechnyy,RU,1604802759,72,50.72,136.63,84,23.68,6.71
fuxin,CN,1604802921,0,42.02,121.66,50,38.64,16.91
waddan,LY,1604802922,1,29.16,16.14,92,56.01,7.74
petropavlovsk-kamchatskiy,RU,1604802923,3,53.05,158.65,55,35.6,6.71
ligayan,PH,1604802923,51,4.65,119.47,73,82.45,8.41
ulladulla,AU,1604802924,90,-35.35,150.47,55,64.4,12.75
polunochnoye,RU,1604802925,7,60.87,60.42,94,27.86,6.76
okha,RU,1604802926,100,53.57,142.95,87,28.17,15.55
olafsvik,IS,1604802738,49,64.89,-23.71,73,39.65,21.65
ashland,US,1604802927,1,40.82,-82.27,62,53.01,6.93
marmande,FR,1604802928,40,44.5,0.17,97,57.99,5.28
staryy nadym,RU,1604802929,100,65.61,72.68,99,31.91,3.98
grand gaube,MU,1604802931,24,-20.01,57.66,87,71.01,8.01
redlands,US,1604802717,90,34.06,-117.18,66,54.0,3.36
malinyi,TZ,1604802932,64,-8.93,36.13,78,72.3,2.44
salalah,OM,1604802750,0,17.02,54.09,56,71.6,5.82
vao,NC,1604802704,17,-22.67,167.48,72,73.6,14.47
dire dawa,ET,1604802934,85,9.59,41.87,73,65.14,4.68
marawi,PH,1604802935,26,8.0,124.29,75,82.99,5.99
ahipara,NZ,1604802935,55,-35.17,173.17,80,60.04,10.69
aykhal,RU,1604802754,0,66.0,111.5,84,-0.4,2.24
xingyi,CN,1604802937,76,24.19,102.82,76,57.81,3.96
kununurra,AU,1604802938,75,-15.77,128.73,36,93.2,8.05
kushiro,JP,1604802939,20,42.98,144.37,35,55.4,18.34
vestmanna,FO,1604802706,82,62.16,-7.17,86,41.0,10.29
kindu,CD,1604802940,100,-2.95,25.95,98,69.04,2.48
tuma,RU,1604802940,49,55.15,40.55,91,42.75,12.55
naze,JP,1604802898,75,28.37,129.48,73,75.2,12.75
asau,RO,1604802942,0,46.43,26.4,88,42.01,4.65
uarini,BR,1604802942,100,-2.99,-65.11,98,73.98,3.65
san roque,ES,1604802943,87,36.21,-5.38,87,60.8,3.36
union,US,1604802943,1,40.63,-74.27,51,62.01,4.21
zverinogolovskoye,RU,1604802710,100,54.46,64.85,97,37.69,7.34
ossora,RU,1604802945,1,59.24,163.07,84,29.86,3.11
vila velha,BR,1604802741,75,-20.33,-40.29,94,73.4,2.24
koubia,GN,1604802946,0,11.58,-11.9,50,68.58,2.59
susanville,US,1604802825,90,40.42,-120.65,56,42.8,12.75
mount gambier,AU,1604802947,0,-37.83,140.77,48,66.2,8.05
palana,RU,1604802948,52,59.12,159.97,92,27.01,3.36
tetiz,MX,1604802948,20,20.97,-89.93,88,78.01,3.36
huarmey,PE,1604802729,15,-10.07,-78.15,85,61.18,5.41
pisco,PE,1604802696,90,-13.7,-76.22,88,62.6,11.41
murmashi,RU,1604802950,75,68.82,32.81,80,33.8,13.42
quatre cocos,MU,1604802951,75,-20.21,57.76,88,71.6,9.17
santa isabel do rio negro,BR,1604802952,98,-0.41,-65.02,95,71.08,0.87
bilma,NE,1604802699,0,18.69,12.92,44,65.1,12.59
sochi,RU,1604802953,0,43.6,39.73,87,44.6,8.95
inirida,CO,1604802954,100,3.87,-67.92,96,75.33,2.84
yaan,NG,1604802739,51,7.38,8.57,80,72.82,4.05
kifri,IQ,1604802955,46,34.7,44.97,53,66.69,5.66
saint-leu,RE,1604802956,20,-21.15,55.28,64,71.6,6.93
wufeng,CN,1604802956,82,27.45,104.83,79,49.33,3.11
yavatmal,IN,1604802957,0,20.4,78.13,47,66.54,4.83
igrim,RU,1604802958,64,63.19,64.42,98,28.67,5.88
mezhdurechensk,RU,1604802959,31,53.69,88.06,81,38.28,3.78
danville,US,1604802959,1,36.59,-79.39,93,60.01,3.36
sokoni,TZ,1604802960,40,-6.43,39.55,80,79.83,9.06
qingdao,CN,1604802961,0,36.1,120.37,42,55.4,6.71
ryotsu,JP,1604802962,75,38.08,138.43,55,64.4,10.29
fort nelson,CA,1604802607,20,58.81,-122.7,84,8.6,1.54
saldanha,ZA,1604802697,64,-33.01,17.94,82,59.0,10.29
mocuba,MZ,1604802964,0,-16.84,36.99,57,74.75,4.45
narsaq,GL,1604802752,100,60.92,-46.05,74,28.4,5.82
morondava,MG,1604802965,85,-20.28,44.28,76,79.77,2.3
